                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6758,                 6.0028,                 4.2294,                0.00017,                0.04575,                 0.0001,                  2e-05,                 3.7136,                 5.1473,                 4.1593,                0.00018,                0.00018,                0.00018
                      2,                 3.5745,                  5.836,                 4.1874,                0.00012,                0.03268,                  7e-05,                  1e-05,                 3.7008,                 5.1381,                 4.1539,             0.00034238,             0.00034238,             0.00034238
                      3,                 3.3649,                 5.3359,                 4.0715,                0.00012,                0.03268,                  7e-05,                  2e-05,                 3.6873,                 5.1211,                 4.1474,             0.00046516,             0.00046516,             0.00046516
                      4,                  3.182,                 5.0954,                 3.9648,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6745,                 5.0629,                 4.1421,             0.00054834,             0.00054834,             0.00054834
                      5,                 3.0084,                 4.7719,                 3.7049,                0.00014,                0.03922,                  8e-05,                  1e-05,                 3.6885,                 4.9557,                 4.1502,             0.00059192,             0.00059192,             0.00059192
                      6,                 3.0497,                 4.4412,                  3.597,                0.00011,                0.03268,                  6e-05,                  2e-05,                  3.675,                 4.8566,                 4.1309,              0.0005959,              0.0005959,              0.0005959
                      7,                 2.9228,                 4.4501,                 3.5526,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.5404,                   4.72,                 4.0428,             0.00056028,             0.00056028,             0.00056028
                      8,                 2.7957,                 4.0947,                 3.3726,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.3965,                 4.7053,                 3.9431,             0.00048506,             0.00048506,             0.00048506
                      9,                 2.6572,                 3.8645,                 3.2797,                0.00012,                0.03268,                  7e-05,                  2e-05,                 3.4108,                 4.8231,                 3.9426,             0.00037024,             0.00037024,             0.00037024
                     10,                 2.6489,                 3.9434,                 3.1371,                0.00022,                0.05882,                0.00012,                  4e-05,                 3.2864,                 4.7996,                 3.8512,             0.00021582,             0.00021582,             0.00021582
